Date,Title,Link,Tags,Description,Text
2025.01.02 17:58,В Хьюстоне завершили многочасовой обыск по делу о наезде на людей в Новом Орлеане,https://www.interfax.ru/world/1001557,"США,Хьюстон,Новый Орлеан,ФБР",,"Москва. 2 января. INTERFAX.RU - Сотрудники органов правопорядка США закончили обыск, длившийся 11 часов, в северной части Хьюстона (,) в связи с наездом на пешеходов днем ранее в Новом Орлеане (,), сообщает в четверг NBC.,Власти отмечали, что оперативные мероприятия имеют отношения к событиям в Новом Орлеане, но не уточняли, что именно ищут. Впоследствии официальные лица заверили местных жителей, что опасности для них нет.,В обыске участвовали штурмовое подразделение SWAT от ФБР, взрывотехники, специалисты по борьбе с терроризмом, переговорщики на случай кризисных ситуаций.,В ходе работы следователей о задержаниях в Хьюстоне не сообщалось.,В результате наезда автомобиля на толпу в Новом Орлеане 15 человек погибли и более 30 получили ранения. Водитель, 42-летний бывший американский военнослужащий из Техаса Шамсуддин Джаббар, после наезда вышел из пикапа и начал стрелять. Полиция открыла ответный огонь и застрелила преступника.,Вместе с тем накануне в Лас-Вегасе автомобиль Tesla Cybertruck , близ входа в гостиницу Trump International Hotel, одним из владельцев которой является избранный президент США Дональд Трамп. Находившийся внутри машины человек погиб. Еще семеро получили незначительные травмы.,Президент США Джо Байден , о возможной связи между наездом пикапа на людей в Новом Орлеане и взрывом автомобиля Tesla возле отеля Трампа."
2025.01.02 22:31,"Израильская армия нанесла удары по позициям ""Хезболлы"" на юге Ливана",https://www.interfax.ru/world/1001564,,,"Москва. 2 января. INTERFAX.RU - В Армии обороны Израиля (ЦАХАЛ) в четверг подтвердили авиаудары по югу Ливана, сообщает The Times of Israel.,Израильские военные отметили, что удары нанесены по объектам, с которых бойцы движения ""Хезболла"" осуществляли пуски ракет.,В ЦАХАЛ добавили, что в рамках соглашения о прекращении огня направили ливанской армии запрос на нейтрализацию этих позиций, которые ""представляли угрозу израильскому тылу"" и военным. В израильской армии указали, что нанесли удары только после того, как запрос не был выполнен ливанскими правительственными войсками.,27 ноября израильские военные и ""Хезболла"" прекратили боевые действия. По его условиям, израильская армия будет поэтапно уходить с территории Ливана и оставляет за собой право наносить удары по бойцам ""Хезболлы"", если решит, что те представляют угрозу для безопасности Израиля.,После этого поступали сообщения об инцидентах с ударами Израиля и ""Хезболлы"" по позициям друг друга."
2025.01.02 18:14,Около 30 российских туристов пострадали в ДТП в Таиланде,https://www.interfax.ru/world/1001558,Таиланд,,"Москва. 2 января. INTERFAX.RU - Автобус с российскими туристами попал в ДТП на въезде в Паттайю (,), почти тридцать россиян госпитализировали в больницу, сообщают в четверг местные СМИ.,По данным газеты Matichon, водитель туристического автобуса во время движения по автомагистрали перед пунктом взимания сбора за проезд не справился с управлением и столкнулся с ограждением, а после этого с автомобилем Toyota.,В автобусе находились 37 российских туристов. В результате аварии 27 туристов госпитализировали в одну из больниц Паттайи.,Полиция выясняет подробности произошедшего."
2025.01.02 21:03,Беспилотник ВСУ сбит в Брянской области,https://www.interfax.ru/russia/1001562,"Брянская область,Александр Богомаз",,"Москва. 2 января. INTERFAX.RU - Губернатор Брянской области Александр Богомаз сообщил об уничтожении силами ПВО в регионе украинского дрона в четверг.,Пострадавших и разрушений нет, написал он в своем телеграм-канале.,Ранее в Минобороны РФ ,, что военные в ночь на четверг сбили над Брянской областью четыре беспилотника ВСУ."
2025.01.02 20:24,Четыре украинские ракеты сбиты в Курской области,https://www.interfax.ru/russia/1001561,Курская область,,"Москва. 2 января. INTERFAX.RU - В Курской области за день сбили четыре украинских ракеты, сообщает областной оперштаб в своем телеграм-канале в четверг.,""Четыре украинские ракеты были сбиты сегодня в разное время в небе Курской области"", - говорится в ,.,Ранее в четверг врио губернатора Курской области Александр Хинштейн сообщал о ракетном ударе по ,."
2025.01.02 19:52,"Участок трассы М5 ""Урал"" перекрыт в Оренбургской области из-за непогоды",https://www.interfax.ru/russia/1001560,"Оренбургская область,М5 ""Урал""",,"Москва. 2 января. INTERFAX.RU - Запрет на движение транспорта установлен на участке федеральной автодороги М5 ""Урал"" в Оренбургской области из-за метели, сообщает в четверг пресс-служба министерства сельского хозяйства, торговли, пищевой и перерабатывающей промышленности региона.,По данным пресс-службы, прекращено движение для всех видов транспортных средств с 20:30 (,) 2 января на участке Краснощеково-Новоникольск.,Уточняется, что запрет введен из-за ухудшения погодных условий - появления метели и связанным с ней ограничением видимости.,По предварительным данным, ограничения будут сняты в пятницу в 8:00 по Москве."
2025.01.02 21:17,Более 78 тыс. тонн песка с мазутом вывезено с Черноморского побережья Кубани,https://www.interfax.ru/russia/1001563,"Краснодарский край,Вениамин Кондратьев",,"Москва. 2 января. INTERFAX.RU - После крушения танкеров с нефтепродуктами с пляжей Черноморского побережья Краснодарского края вывезено более 78 тыс. тонн загрязненного мазутом песка, сообщил в своем телеграм-канале губернатор региона Вениамин Кондратьев.,""Уже собрано и вывезено более 78 тысяч тонн замазученного грунта, в том числе 43 тысячи тонны на площадку временного хранения в хуторе Воскресенском"", - написал Кондратьев.,15 декабря в Керченском проливе потерпели крушение танкеры с мазутом ""Волгонефть 212"" и ""Волгонефть 239"", произошел разлив топлива. Нефтепродукты вынесло на берег, загрязнение растянулось более чем на 60 км.,К ликвидации ЧС привлечены, с учетом волонтеров, более 10 тыс. человек и 700 единиц техники. По последним данным Минтранса РФ, при крушении танкеров были повреждены 4 танка с нефтепродуктами, в море попало около 2.4 тыс. тонн мазута.,25 декабря губернатор Краснодарского края Вениамин Кондратьев ввел режим ЧС на территории региона. 26 декабря правительственная комиссия под председательством главы МЧС РФ Александра Куренкова приняла решение о введении ЧС федерального уровня."
2025.01.02 19:47,В Крыму устранили разлив нефтепродуктов на двух участках побережья,https://www.interfax.ru/russia/1001559,"Крым,МЧС РФ",,"Москва. 2 января. INTERFAX.RU - В Крыму завершили работы по ликвидации разлива нефтепродуктов на двух выявленных участках, сообщила пресс-служба МЧС РФ в четверг.,""Сегодня в ходе мониторинга были обнаружены два новых участка загрязнений нефтепродуктами береговой линии в Керчи и Ленинском районе. В настоящее время работы на этих участках завершены"", - говорится в сообщении.,Всего очищено более 4 км береговой линии, собрано и вывезено более 2 тонн загрязненного песка и грунта. Всего за сутки обследовано 214 км береговой линии, отметили в пресс-службе.,По ее данным, с начала работ по ликвидации последствий ЧС в акватории Черного моря обследовано 1 803 км береговой линии, отчищено более 48,5 км побережья, спасено 168 птиц.,Ранее в четверг пресс-служба МЧС РФ сообщала, что в Республике Крым в ходе мониторинга специалистами были обнаружены два участка разлива мазута.,Выбросы мазута с танкеров, потерпевших крушение в Керченском проливе, впервые зафиксировали на берегу Крыма 21 декабря."
2025.01.02 22:40,Минобороны РФ сообщило об уничтожении семи дронов ВСУ,https://www.interfax.ru/russia/1001565,"Минобороны РФ,Курская область,Брянская область,Белгородская область,Орловская область",,"Москва. 2 января. INTERFAX.RU - Средства противовоздушной обороны с 20:00 до 22:00 мск сбили семь украинских беспилотников над Белгородской, Брянской, Орловской и Курской областями, сообщили в Минобороны РФ.,""По два БПЛА уничтожены над территориями Белгородской, Брянской и Орловской областей, один - над территорией Курской области"", - говорится в сообщении ведомства."
2025.01.02 22:52,Еще одна ракета ВСУ сбита над Курской областью,https://www.interfax.ru/russia/1001566,Курская область,,"Москва. 2 января. INTERFAX.RU - Над Курской областью сбита еще одна украинская ракета, об этом сообщил оперштаб Курской области в своем телеграм-канале.,""Еще одна ракета ВСУ была сбита в приграничном районе Курской области"", - говорится в сообщении в четверг."
